ejercicio;finalidad;funcion;descripcion
2014;1;11;Legislativa
2014;1;12;Judicial
2014;1;13;Dirección ejecutiva
2014;1;17;Control de la gestió
2014;1;15;Relaciones interiore
2014;1;16;Administración fisca
2014;1;;Administracion gubernamental
2014;3;31;Salud
2014;3;32;Promoción y acción s
2014;3;34;Educación
2014;3;35;Cultura
2014;3;37;Vivienda
2014;3;38;Agua potable y alcan
2014;3;36;Trabajo
2014;3;;Servicios sociales
2014;4;43;Transporte
2014;4;44;Ecología
2014;4;49;Servicios urbanos
2014;4;46;Industria y Comercio
2014;4;45;Turismo
2014;4;48;Seguros y Finanzas
2014;4;;Servicios económicos
2014;2;22;Seguridad interior
2014;2;;Servicios de defensa y seguridad
2014;5;51;Deuda pública-Intere
2014;5;;Deuda Pública
2014;9;91;Gastos no clasificad
2014;9;;No clasificados
