ejercicio;ubicacion_geografica;descripcion
2013;01;COMUNA 1
2013;14;COMUNA 14
2013;04;COMUNA 4
2013;03;COMUNA 3
2013;08;COMUNA 8
2013;02;COMUNA 2
2013;05;COMUNA 5
2013;06;COMUNA 6
2013;07;COMUNA 7
2013;09;COMUNA 9
2013;10;COMUNA 10
2013;11;COMUNA 11
2013;12;COMUNA 12
2013;13;COMUNA 13
2013;15;COMUNA 15
2013;89;ZONA EXTERNA A LA CIUDAD
2013;24;DISTRITO ESCOLAR 4
2013;27;DISTRITO ESCOLAR 7
2013;28;DISTRITO ESCOLAR 8
2013;34;DISTRITO ESCOLAR 14
2013;37;DISTRITO ESCOLAR 17
2013;22;DISTRITO ESCOLAR 2
